User ID,Depression,user_id,depression_detected,reason
14,0.0,,,
15,0.0,,,
18,0.0,,,
59,0.0,,,
61,0.0,,,
66,0.0,,,
67,0.0,,,
89,0.0,,,
94,0.0,,,
107,0.0,,,
246,0.0,,,
257,0.0,,,
259,0.0,,,
274,0.0,,,
291,0.0,,,
364,0.0,,,
409,0.0,,,
414,0.0,,,
509,0.0,,,
541,0.0,,,
607,0.0,,,
633,0.0,,,
675,0.0,,,
753,0.0,,,
761,0.0,,,
765,0.0,,,
781,0.0,,,
785,0.0,,,
842,0.0,,,
885,0.0,,,
897,0.0,,,
926,0.0,,,
929,0.0,,,
951,0.0,,,
1070,0.0,,,
1075,0.0,,,
1083,0.0,,,
1103,0.0,,,
1117,0.0,,,
1153,0.0,,,
1173,0.0,,,
1186,0.0,,,
1469,0.0,,,
1497,0.0,,,
1501,0.0,,,
1536,0.0,,,
1538,0.0,,,
1623,0.0,,,
1679,0.0,,,
1887,0.0,,,
1940,0.0,,,
2026,0.0,,,
2078,0.0,,,
2172,0.0,,,
2415,0.0,,,
2442,0.0,,,
2483,0.0,,,
2495,0.0,,,
2615,0.0,,,
2671,0.0,,,
2672,0.0,,,
2691,0.0,,,
2781,0.0,,,
2806,0.0,,,
2807,0.0,,,
2874,0.0,,,
2922,0.0,,,
2984,0.0,,,
2986,0.0,,,
3032,0.0,,,
3269,0.0,,,
3343,0.0,,,
3365,0.0,,,
3475,0.0,,,
3476,0.0,,,
3519,0.0,,,
3520,0.0,,,
3750,0.0,,,
3839,0.0,,,
3840,0.0,,,
3946,0.0,,,
3981,0.0,,,
4210,0.0,,,
4243,0.0,,,
4396,0.0,,,
4444,0.0,,,
4488,0.0,,,
4558,0.0,,,
4578,0.0,,,
4629,0.0,,,
4642,0.0,,,
4696,0.0,,,
4816,0.0,,,
4833,0.0,,,
4849,0.0,,,
4999,0.0,,,
5091,0.0,,,
5093,0.0,,,
5215,0.0,,,
5250,0.0,,,
5374,0.0,,,
5471,0.0,,,
5568,0.0,,,
5583,0.0,,,
5628,0.0,,,
5702,0.0,,,
5841,0.0,,,
5977,0.0,,,
6104,0.0,,,
6217,0.0,,,
6233,0.0,,,
6285,0.0,,,
6404,0.0,,,
6631,0.0,,,
6735,0.0,,,
6743,0.0,,,
6794,0.0,,,
6837,0.0,,,
6954,0.0,,,
7252,0.0,,,
7543,0.0,,,
7551,0.0,,,
7627,0.0,,,
7673,0.0,,,
7681,0.0,,,
7846,0.0,,,
7848,0.0,,,
8291,0.0,,,
8412,0.0,,,
8569,0.0,,,
8584,0.0,,,
8610,0.0,,,
8629,0.0,,,
8739,0.0,,,
8907,0.0,,,
9027,0.0,,,
10051,0.0,,,
10078,0.0,,,
10139,0.0,,,
10202,0.0,,,
10223,0.0,,,
10226,0.0,,,
10241,0.0,,,
10265,0.0,,,
10286,0.0,,,
10303,0.0,,,
10305,0.0,,,
10318,0.0,,,
10326,0.0,,,
10341,0.0,,,
10350,0.0,,,
10403,0.0,,,
10416,0.0,,,
10419,0.0,,,
10441,0.0,,,
10450,0.0,,,
10508,0.0,,,
10519,0.0,,,
10658,0.0,,,
10877,0.0,,,
10990,0.0,,,
11019,0.0,,,
11037,0.0,,,
11041,0.0,,,
11162,0.0,,,
11262,0.0,,,
11352,0.0,,,
11412,0.0,,,
11426,0.0,,,
11552,0.0,,,
11580,0.0,,,
11604,0.0,,,
11627,0.0,,,
11665,0.0,,,
11718,0.0,,,
11726,0.0,,,
11727,0.0,,,
11730,0.0,,,
11752,0.0,,,
12003,0.0,,,
12249,0.0,,,
12263,0.0,,,
12305,0.0,,,
12320,0.0,,,
12329,0.0,,,
12430,0.0,,,
12435,0.0,,,
12444,0.0,,,
12447,0.0,,,
12449,0.0,,,
12468,0.0,,,
12514,0.0,,,
12522,0.0,,,
12528,0.0,,,
12534,0.0,,,
12543,0.0,,,
12549,0.0,,,
12554,0.0,,,
12584,0.0,,,
12587,0.0,,,
12591,0.0,,,
12606,0.0,,,
12615,0.0,,,
12616,0.0,,,
12657,0.0,,,
12661,0.0,,,
12707,0.0,,,
12791,0.0,,,
12797,0.0,,,
12902,0.0,,,
